User Id	Post ID	Post Type
800452	7650426	question
162698	7650426	answer
1617926	7650426	answer
5367133	42424862	question
2398724	42424862	answer
7643022	42424862	answer
6852836	42424862	answer
715680	42424862	answer
1757401	20695877	question
383904	20695877	answer
245581	20695877	answer
3030058	20695877	answer
467853	20695877	answer
4357818	27462306	question
383904	27462306	answer
707381	10531322	question
527617	10531322	answer
1070844	10531322	answer
3743069	26558916	question
3905567	26558916	answer
2761425	35733029	question
4336685	35733029	answer
961296	47578337	question
8733589	47578337	answer
438581	47578337	answer
4224574	47578337	answer
691711	47578337	answer
2854582	21780360	question
2065702	21780360	answer
4253848	29880464	question
3988232	29880464	answer
77501	29880464	answer
1161353	13979394	question
3571248	13979394	answer
1161353	13979394	answer
1053949	13979394	answer
3164386	24503882	question
5294828	24503882	answer
2225845	24503882	answer
3540289	24503882	answer
3064056	24503882	answer
1348596	37139956	question
309383	37139956	answer
367401	5755765	question
188993	5755765	answer
778669	5755765	answer
139054	5755765	answer
129346	5755765	answer
361610	5755765	answer
157601	5755765	answer
2225110	37713585	question
3190931	37713585	answer
2397550	37713585	answer
2212031	37713585	answer
2560539	37713585	answer
5217568	33535055	question
1250044	33535055	answer
684368	33535055	answer
3168107	33535055	answer
4670340	33535055	answer
2030321	36081947	question
3233135	36081947	answer
1098851	36081947	answer
4672534	36081947	answer
5703316	36081947	answer
5727130	34512455	question
3897775	34512455	answer
5708097	34512455	answer
2993494	31136285	question
508127	31136285	answer
1344955	31136285	answer
1941842	14116345	question
22550	14116345	answer
410856	9943435	question
1386886	9943435	answer
4354830	30684594	question
893541	30684594	answer
4908989	30684594	answer
4785333	39237980	question
6240567	39237980	answer
4534940	39237980	answer
3344629	33511427	question
4799446	33511427	answer
791483	33511427	answer
3385827	33511427	answer
4490837	31609085	question
2522817	31609085	answer
5019360	31609085	answer
3509618	31609085	answer
8709940	53978637	question
383904	53978637	answer
2003070	53978637	answer
467732	31112901	question
1486486	31112901	answer
3355076	22080548	question
2801559	22080548	answer
3374771	22080548	answer
5822173	35033115	question
1213296	35033115	answer
5336818	35033115	answer
4298752	35033115	answer
5217986	35033115	answer
4316126	35033115	answer
4914404	30316156	question
1213296	30316156	answer
4934026	32079178	question
5246327	32079178	answer
3265508	28350748	question
3461086	28350748	answer
2480715	28350748	answer
723627	7797156	question
4719913	7797156	answer
886539	7797156	answer
708689	7797156	answer
239078	7797156	answer
2688196	19303862	question
1713113	19303862	answer
2989639	19303862	answer
2842567	19303862	answer
1916902	19303862	answer
1203457	19303862	answer
1046690	30599376	question
3449496	30599376	answer
3961271	30599376	answer
2801559	30599376	answer
2076123	24649120	question
3007335	24649120	answer
1428241	24649120	answer
3603806	24649120	answer
1015959	24649120	answer
4684797	33953721	question
2025923	33953721	answer
1213296	33953721	answer
462627	33953721	answer
